word,fruit
banana,1
shoe,0
nectarine,1
mango,1
girl,0
glove,0
coconut,1
peach,1
frame,0
sausage,1
dog,0
toast,0
rasberry,1
cherry,1
sun,0
shirt,0
lipstick,0
apricot,1
shirt,0
car,0
peach,1
rice,0
grape,1
door,0
cup,0
lemon,1
church,0
frame,0
avocado,1
woman,0
hair,0
couch,0
pear,1
passionfruit,1
bicycle,0
pineapple,1
raspberry,1
circle,0
airplane,0
cloud,0
clock,0
girl,0
bed,0
pen,0
tree,0
laptop,0
oven,0
boy,0
watch,0
goat,0
hand,0
ray,0
parcel,0
chair,0
fly,0
wall,0
trousers,0
boy,0
